sum_ws,sum_vorp,wavg_per,wavg_ts,wavg_age,wavg_bpm,top2_vorp,top3_vorp,top2_ws,top3_ws,num_players,total_minutes,count_PG,count_SG,count_SF,count_PF,count_C,count_UNK,TEAM_NAME,season,won_championship
38.3,10.399999999999999,15.279987452948557,0.516030112923463,25.551944792973654,0.6026160602258469,5.5,7.9,14.6,20.6,17,15940,5,2,3,4,3,0,Memphis Grizzlies,2011-12,0
48.099999999999994,13.799999999999999,15.926267223642371,0.5424664879356569,28.271213916079557,1.440806783465303,11.6,13.0,22.2,29.1,16,16039,2,4,2,4,4,0,Miami Heat,2011-12,1
33.0,7.9,15.244992752253104,0.5196274027856559,26.231486733471986,-0.04620911325392316,4.4,5.7,11.9,16.3,17,15867,1,4,4,5,3,0,Milwaukee Bucks,2011-12,0
28.500000000000004,6.6,14.453588006523646,0.5183185296700539,24.420210764019572,-0.4018943670806675,5.0,6.0,14.5,17.8,15,15942,2,3,4,3,3,0,Minnesota Timberwolves,2011-12,0
21.1,1.8000000000000003,13.993316130656428,0.5104170809994335,26.127446661212158,-1.5713323683051168,2.8000000000000003,3.3000000000000003,9.399999999999999,11.499999999999998,22,15889,4,3,8,2,5,0,New Jersey Nets,2011-12,0
26.000000000000004,4.700000000000001,14.053782936010037,0.5164872647427855,25.492659974905894,-0.7732120451693851,2.5999999999999996,3.6999999999999997,7.0,9.9,22,15940,5,4,3,4,6,0,New Orleans Hornets,2011-12,0
39.800000000000004,10.8,14.752813852813855,0.5397312252964427,26.258987389422167,0.6391304347826087,4.9,6.5,15.7,19.799999999999997,17,15939,5,3,2,4,3,0,New York Knicks,2011-12,0
46.9,14.499999999999998,16.60737915077231,0.5610799199549747,25.099806140954286,1.5499593521355763,8.9,11.9,21.5,29.4,16,15991,4,4,2,3,3,0,Oklahoma City Thunder,2011-12,0
35.1,8.7,14.753422684286338,0.5305671697876871,27.52959228408593,0.1517129078724868,6.3,7.6,16.6,21.8,16,15967,4,3,3,5,1,0,Orlando Magic,2011-12,0
42.89999999999999,11.5,15.70772178939432,0.5103363282231717,24.870382005529024,0.9087396330736366,5.8,7.6,13.6,19.7,16,15916,2,2,4,3,5,0,Philadelphia 76ers,2011-12,0
32.50000000000001,8.5,15.400284090909091,0.5375357323232323,28.871780303030306,0.11577651515151499,5.0,6.7,13.5,18.6,13,15840,3,3,2,3,2,0,Phoenix Suns,2011-12,0
31.3,7.800000000000001,15.19349282895973,0.5254374647710905,27.45493831026492,-0.044955220141541956,4.5,5.8,11.8,16.6,18,15967,5,2,3,3,5,0,Portland Trail Blazers,2011-12,0
22.099999999999998,3.1999999999999997,14.796506220937538,0.5071340957647354,24.27912529847933,-1.2175380168405177,2.5999999999999996,3.3999999999999995,8.5,12.4,15,15914,2,3,4,3,3,0,Sacramento Kings,2011-12,0
48.50000000000001,15.000000000000002,16.880577164366372,0.5639995608531994,27.522961104140524,1.6999309912170637,4.5,6.6,13.0,18.5,21,15940,5,4,3,6,3,0,San Antonio Spurs,2011-12,0
