Rk,Player,Age,Tm,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,bbref_id,Player_clean,salary_2025_26,salary_imputed
272,Dalen Terry,22,CHI,SG,73,5,987,9.6,0.546,0.388,0.257,4.1,9.0,6.6,12.7,2.1,1.3,15.1,14.9,0.2,0.8,1.1,0.052,-4.0,0.2,-3.8,-0.5,,terryda01,dalen terry,5399118.0,False
179,Dalton Knecht,23,LAL,SF,78,16,1494,12.7,0.594,0.61,0.151,2.9,13.1,8.1,6.5,0.8,0.5,5.9,18.5,1.7,1.0,2.7,0.086,-0.1,-1.7,-1.8,0.1,,knechda01,dalton knecht,4010160.0,False
77,Damian Lillard,34,MIL,PG,58,58,2093,21.3,0.621,0.528,0.396,1.6,12.1,7.1,29.7,1.6,0.4,12.2,27.8,5.6,2.0,7.6,0.175,4.7,-0.6,4.0,3.2,AS,lillada01,damian lillard,54126450.0,False
414,Damion Baugh,24,CHO,SG,15,2,370,6.3,0.399,0.431,0.115,3.9,10.6,7.2,22.2,2.0,0.5,18.5,19.3,-0.8,0.2,-0.5,-0.069,-5.9,-1.2,-7.1,-0.5,,baughda01,damion baugh,1200000.0,True
474,Damion Lee,32,PHO,SG,25,0,144,11.9,0.499,0.5,0.284,2.4,12.8,7.8,11.5,2.1,0.0,10.7,28.6,-0.2,0.1,-0.1,-0.031,-2.9,-2.1,-5.1,-0.1,,leeda03,damion lee,600000.0,True
181,D'Angelo Russell,28,2TM,PG,58,36,1480,14.0,0.522,0.564,0.227,1.5,11.0,6.2,31.2,1.9,1.5,13.3,24.0,0.7,1.3,1.9,0.063,0.0,-0.4,-0.4,0.6,,russeda01,dangelo russell,1200000.0,True
231,Daniel Gafford,26,DAL,C,57,31,1226,24.7,0.716,0.0,0.486,14.1,20.3,17.2,10.2,0.9,7.1,11.9,19.5,4.4,1.5,5.9,0.232,2.7,1.1,3.8,1.8,,gaffoda01,daniel gafford,14386320.0,False
344,Daniel Theis,32,NOP,C,38,9,621,12.1,0.558,0.287,0.287,7.4,21.5,14.2,13.0,1.4,3.1,14.7,11.6,0.6,0.4,1.0,0.077,-3.3,0.0,-3.3,-0.2,,theisda01,daniel theis,1200000.0,True
544,Daniss Jenkins,23,DET,PG,7,0,23,-0.1,0.322,0.7,0.2,0.0,9.6,4.8,17.3,0.0,0.0,8.4,21.8,-0.1,0.0,-0.1,-0.15,-10.2,-5.7,-15.8,-0.1,,jenkida01,daniss jenkins,600000.0,True
413,Dante Exum,29,DAL,PG,20,13,372,13.6,0.589,0.396,0.231,1.2,8.3,4.8,21.5,1.6,0.7,13.0,19.6,0.4,0.2,0.6,0.083,-1.2,-1.1,-2.3,0.0,,exumda01,dante exum,1200000.0,True
257,DaQuan Jeffries,27,CHO,SG,47,20,1071,7.9,0.518,0.564,0.103,3.6,10.0,6.7,7.2,1.2,2.3,10.3,13.5,0.0,0.6,0.6,0.027,-4.0,-0.7,-4.7,-0.7,,jeffrda01,daquan jeffries,2743776.0,False
456,Dario Šarić,30,DEN,C,16,4,210,7.7,0.449,0.448,0.172,7.7,17.9,13.1,13.1,1.6,0.4,19.4,15.6,-0.2,0.2,0.0,0.001,-4.4,-0.4,-4.8,-0.1,,saricda01,dario saric,5426400.0,False
446,Dariq Whitehead,20,BRK,SF,20,0,246,9.4,0.58,0.771,0.052,1.8,12.1,6.7,7.8,1.2,0.4,13.3,20.1,-0.1,0.1,0.1,0.01,-1.5,-2.2,-3.7,-0.1,,whiteda01,dariq whitehead,3262560.0,False
39,Darius Garland,25,CLE,PG,75,75,2301,19.9,0.6,0.451,0.217,2.3,7.6,5.0,32.2,1.9,0.4,12.8,27.2,5.8,2.3,8.1,0.169,3.9,-0.8,3.1,3.0,CPOY-6AS,garlada01,darius garland,39446090.0,False
534,David Duke Jr.,25,SAS,SG,6,0,34,12.2,0.538,0.429,0.143,3.1,12.6,7.9,17.0,1.4,0.0,11.8,21.2,0.0,0.0,0.0,0.023,-0.1,-1.4,-1.5,0.0,,dukeda01,david duke jr,600000.0,True
397,David Roddy,23,3TM,PF,33,3,410,11.9,0.561,0.488,0.208,3.4,19.5,11.2,11.5,1.6,2.0,13.9,16.0,0.1,0.4,0.5,0.062,-1.6,0.1,-1.5,0.1,,roddyda01,david roddy,1200000.0,True
88,Davion Mitchell,26,2TM,PG,74,37,2027,10.2,0.573,0.443,0.176,1.9,7.1,4.5,24.2,1.7,0.8,20.0,13.6,1.3,1.6,3.0,0.07,-2.8,0.2,-2.6,-0.3,,mitchda01,davion mitchell,1200000.0,True
286,Day'Ron Sharpe,23,BRK,C,50,2,907,19.7,0.568,0.142,0.233,17.8,23.8,20.7,16.8,2.3,4.6,15.3,19.9,1.3,1.4,2.7,0.141,0.0,0.9,0.9,0.7,,sharpda01,dayron sharpe,1200000.0,True
52,De'Aaron Fox,27,2TM,PG,62,62,2241,18.3,0.56,0.328,0.273,2.7,12.1,7.4,27.2,2.0,1.1,11.8,28.3,2.6,1.7,4.3,0.093,1.3,-1.0,0.4,1.3,,foxde01,deaaron fox,37096620.0,False
222,Dean Wade,28,CLE,PF,59,30,1252,10.1,0.563,0.819,0.111,4.5,16.6,10.8,7.3,1.6,1.4,7.2,10.4,1.3,1.7,3.0,0.113,-1.0,1.2,0.3,0.7,,wadede01,dean wade,6623456.0,False
